"alpha"	"delta"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	61000	"intercept"	0.454319725
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	62000	"slope"	0.06382403445
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	62000	"intercept"	0.448483865
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	63000	"slope"	0.087932996705
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	63000	"intercept"	0.44668753
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	64000	"slope"	0.061769286795
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	64000	"intercept"	0.46665994
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	65000	"slope"	0.050336297724
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	65000	"intercept"	0.451009255
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	66000	"slope"	0.07437778635
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	66000	"intercept"	0.47296306
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	67000	"slope"	0.060505683105
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	67000	"intercept"	0.469017365
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	68000	"slope"	0.074246567235
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	68000	"intercept"	0.43029117
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	69000	"slope"	0.0857046171675
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	69000	"intercept"	0.44563084
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	70000	"slope"	0.083730086232
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	70000	"intercept"	0.43791059
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	71000	"slope"	0.112137109655
