"selfingrate"	"delta"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	5000	"slope"	-0.00408860678
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	5000	"intercept"	0.501612565
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	10000	"slope"	-0.0186660109925
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	10000	"intercept"	0.509030645
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	15000	"slope"	-0.0176439889
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	15000	"intercept"	0.50870718
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	20000	"slope"	-0.0003525881375
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	20000	"intercept"	0.504892705
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	25000	"slope"	0.040778448825
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	25000	"intercept"	0.46395133
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	30000	"slope"	-0.05061433165
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	30000	"intercept"	0.525641035
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	35000	"slope"	-0.01975551915
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	35000	"intercept"	0.51566994
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	40000	"slope"	0.025961973
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	40000	"intercept"	0.487778155
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	45000	"slope"	0.000752453999999999
