"selfingrate"	"delta"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	50000	"slope"	0.0273088328
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	50000	"intercept"	0.468103105
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	55000	"slope"	0.0343579802
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	55000	"intercept"	0.46720418
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	60000	"slope"	0.0568299844
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	60000	"intercept"	0.466814165
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	65000	"slope"	0.059926410775
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	65000	"intercept"	0.466412375
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	70000	"slope"	0.060550201785
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	70000	"intercept"	0.47120906
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	75000	"slope"	0.03798996354
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	75000	"intercept"	0.469347
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	80000	"slope"	0.043630286135
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	80000	"intercept"	0.46513157
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	85000	"slope"	0.0518372145845
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	85000	"intercept"	0.46945854
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	90000	"slope"	0.052159610505
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	90000	"intercept"	0.45219251
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	95000	"slope"	0.060635078555
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	95000	"intercept"	0.45525026
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	100000	"slope"	0.06864314356
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	100000	"intercept"	0.4617783
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	10	"slope"	4.5103045e-05
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	10	"intercept"	0.499998375
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	5000	"slope"	0.00838526649
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	5000	"intercept"	0.495453055
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	10000	"slope"	-0.0133172036175
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	10000	"intercept"	0.51601852
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	15000	"slope"	0.06802589345
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	15000	"intercept"	0.457508035
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	20000	"slope"	0.0881729339
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	20000	"intercept"	0.4463627
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	25000	"slope"	0.06395393574
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	25000	"intercept"	0.45485227
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	30000	"slope"	0.03937854775
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	30000	"intercept"	0.46270354
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	35000	"slope"	0.05395648975
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	35000	"intercept"	0.43002042
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	40000	"slope"	0.069464611725
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	40000	"intercept"	0.455711395
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	45000	"slope"	0.055699983105
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	45000	"intercept"	0.457900265
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	50000	"slope"	-0.03834761041
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	50000	"intercept"	0.528523695
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	55000	"slope"	0.032230573505
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	55000	"intercept"	0.471704235
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	60000	"slope"	0.020668850965
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	60000	"intercept"	0.5030784
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	65000	"slope"	-0.04263369248
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	65000	"intercept"	0.52923428
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"8234220008688572604"	70000	"slope"	-0.020408779722
